codigo;digito;nombre_establecimiento;codigo_region;nombre_region;codigo_comuna;nombre_comuna;dependencia1;dependencia2;grupo;cod_rural_rbd;prom_lect2m_rbd;prom_mate2m_rbd;cod_est;docente_aula;horas_aula;docente_utp;horas_utp;docente_inspector;horas_inspector;docente_orientacion;horas_orientacion;docentes_total;horas_total;promedio_asistencia;MAT_HOM_TOT;MAT_MUJ_TOT;MAT_TOTAL;N_PRIO;N_PRIO_BEN;N_PREF;N_PREF_BEN;N_BEN;PAGO_MATRICULA;PAGO_MENSUAL;LATITUD;LONGITUD;PORC_VIV;PERSONAS;VP;VIV_CASAS;VIV_DEPTO;VIV_MEDIAGUA;AREAS_VERDES;ESTAB_DEPORTIVOS;ESTAB_CARABINEROS;CANTIDAD_PARADEROS;TOTAL_ESTAB_SALUD;VIV_CONVENTILLO;UNIVERSIDADES;TOTAL_EST_EDUC;SECTOR_RM;AREA_VERDE_PERSONA;ESTAB_SALUD_PERSONA;DEPORTE_PERSONA;PERSONAS_VP;Min_Dist_Metro;Mean_Dist_Metro;HH_D_A;HH_D_UTP;HH_D_IG;HH_D_OR;HH_D_TOT;PROM_MATE;cluster
10077;3;LICEO MUN. CENTRO EDUCACIONAL PUDAHUEL;13;METROPOLITANA DE SANTIAGO;13124;PUDAHUEL;6;4;1;1;219;218;10077-3;32;1274;0;0;1;44;1;44;37;1494;83,18099349;234;209;443;289;289;88;88;377;GRATUITO;GRATUITO;-33,44455765;-70,75031812;100;1803;661;282;371;0;58596,81694;1;0;3;0;0;0;0;Zona Poniente;32,49962115;0;0,000554631;2,727685325;895,2963543;11714,35566;39,8125;;44;44;40,37837838;218;Grupo 2
10091;9;ESCUELA PROFESORA GLADYS VALENZUELA V;13;METROPOLITANA DE SANTIAGO;13117;LO PRADO;6;4;2;1;218;208;10091-9;40;1485;0;0;1;44;0;0;47;1793;71,02784778;320;252;572;321;321;127;127;448;GRATUITO;GRATUITO;-33,44743503;-70,72679602;100;5206;1638;1069;520;25;3310,513577;3;0;13;0;19;0;2;Zona Poniente;0,635903491;0;0,000576258;3,178266178;512,3721381;9896,180282;37,125;;44;;38,14893617;208;Grupo 2
10106;0;LICEO BICENTENARIO POETA PABLO NERUDA;13;METROPOLITANA DE SANTIAGO;13117;LO PRADO;6;4;2;1;247;234;10106-0;41;1684;4;176;1;44;1;44;50;2078;84,01194022;449;358;807;333;333;188;188;521;GRATUITO;GRATUITO;-33,45513941;-70,71492292;100;3439;1034;610;351;26;7949,586134;3;0;5;2;36;0;2;Zona Poniente;2,311598178;0,000581564;0,000872347;3,325918762;250,5390799;9022,718951;41,07317073;44;44;44;41,56;234;Grupo 2
10126;5;COMPLEJO EDUCACIONAL CERRO NAVIA;13;METROPOLITANA DE SANTIAGO;13103;CERRO NAVIA;6;4;1;1;233;218;10126-5;27;971;1;44;1;44;0;0;38;1430;89,03729176;173;159;332;212;200;36;33;233;GRATUITO;GRATUITO;-33,41412712;-70,7248779;100;5805;1618;1414;130;38;115487,0672;3;0;11;0;28;0;2;Zona Poniente;19,89441295;0;0,000516796;3,58776267;3329,080766;10982,13923;35,96296296;44;44;;37,63157895;218;Grupo 2
10130;3;LICEO CIUDAD DE BRASILIA;13;METROPOLITANA DE SANTIAGO;13124;PUDAHUEL;6;4;1;2;242;230;10130-3;35;1338;0;0;1;44;0;0;38;1470;83,84080766;239;251;490;340;340;105;105;445;GRATUITO;GRATUITO;-33,40274066;-70,85564753;100;18371;5737;5664;0;46;144707,1091;8;0;76;1;5;0;3;Zona Poniente;7,876931529;5,44E-05;0,000435469;3,20219627;11663,11541;21703,76919;38,22857143;;44;;38,68421053;230;Grupo 2
10140;0;ESCUELA PARTICULAR FRINGS COLLEGE;13;METROPOLITANA DE SANTIAGO;13117;LO PRADO;3;2;3;1;266;292;10140-0;16;621;0;0;1;44;0;0;22;829;91,36668691;231;225;456;196;196;139;139;335;GRATUITO;GRATUITO;-33,45381458;-70,70763408;100;3231;1102;924;167;4;911,4106538;0;0;1;0;5;0;0;Zona Poniente;0,282083149;0;0;2,931941924;415,7032909;8584,123478;38,8125;;44;;37,68181818;292;Grupo 1
10158;3;COLEGIO BICENTENARIO SAN DAMIAN DE MOLOKAI;13;METROPOLITANA DE SANTIAGO;13103;CERRO NAVIA;3;2;2;1;243;265;10158-3;66;2607;2;88;0;0;0;0;81;3266;75,36689647;591;503;1094;645;645;333;333;978;GRATUITO;GRATUITO;-33,43007895;-70,73796488;100;6377;1932;1828;21;19;13453,64531;6;0;12;0;54;0;2;Zona Poniente;2,109713865;0;0,000940881;3,300724638;1660,256327;11167,07791;39,5;44;;;40,32098765;265;Grupo 3
10162;1;LICEO TENIENTE DAGOBERTO GODOY NO.3;13;METROPOLITANA DE SANTIAGO;13117;LO PRADO;3;2;3;1;241;258;10162-1;57;1944;2;88;1;44;0;0;65;2296;99,7647745;966;742;1708;890;890;455;455;1345;GRATUITO;GRATUITO;-33,45109149;-70,71388424;100;1932;562;422;114;6;6599,746529;2;0;3;0;18;0;1;Zona Poniente;3,416017872;0;0,001035197;3,43772242;710,5825355;8991,656292;34,10526316;44;44;;35,32307692;258;Grupo 3
10164;8;COLEGIO SAN FRANCISCO JAVIER;13;METROPOLITANA DE SANTIAGO;13103;CERRO NAVIA;3;2;2;1;229;248;10164-8;68;2422;0;0;0;0;0;0;73;2617;85,14136164;513;507;1020;676;676;263;263;939;GRATUITO;GRATUITO;-33,42134178;-70,72667173;100;2804;762;728;1;14;7169,252097;4;0;9;0;17;0;6;Zona Poniente;2,556794614;0;0,001426534;3,679790026;2560,056433;10744,64334;35,61764706;;;;35,84931507;248;Grupo 2
10187;7;COLEGIO BICENTENARIO MADRE ANA EUGENIA;13;METROPOLITANA DE SANTIAGO;13124;PUDAHUEL;3;2;2;1;249;259;10187-7;83;3379;2;69;0;0;0;0;98;3963;85,05606665;38;1553;1591;785;785;612;612;1397;GRATUITO;GRATUITO;-33,43702459;-70,75238365;100;2929;850;838;1;3;8527,681381;2;0;5;0;2;0;2;Zona Poniente;2,911465135;0;0,000682827;3,445882353;1390,663082;12044,11369;40,71084337;34,5;;;40,43877551;259;Grupo 3
10193;1;COLEGIO POLIV. SAINT ORLAND N 3;13;METROPOLITANA DE SANTIAGO;13103;CERRO NAVIA;3;2;2;1;249;254;10193-1;39;1473;0;0;1;44;0;0;46;1751;85;589;663;1252;842;842;337;337;1179;GRATUITO;GRATUITO;-33,41660995;-70,7576067;99,8745;5280;1591;1229;265;39;20145,65735;8;0;16;0;39;0;2;Zona Poniente;3,815465407;0;0,001515152;3,318667505;3511,813248;13150,39131;37,76923077;;44;;38,06521739;254;Grupo 3
10196;6;LICEO INDUSTRIAL BICENTENARIO BENJAMIN DAVILA LARRAIN;13;METROPOLITANA DE SANTIAGO;13128;RENCA;5;2;2;1;243;253;10196-6;40;1674;0;0;1;44;0;0;46;1938;88,79469455;457;339;796;520;0;224;0;0;GRATUITO;GRATUITO;-33,40438993;-70,70056326;100;2498;819;493;324;0;13400,66171;0;0;2;0;0;0;1;Zona Poniente;5,364556328;0;0;3,05006105;2886,640065;10178,36718;41,85;;44;;42,13043478;253;Grupo 2
10199;0;LICEO POLIVALENTE A80 PRESIDENTE JOSE MANUEL BALMACEDA;13;METROPOLITANA DE SANTIAGO;13108;INDEPENDENCIA;2;1;3;1;214;202;10199-0;57;2192;0;0;1;44;1;44;63;2456;100;557;435;992;346;346;229;229;575;GRATUITO;GRATUITO;-33,41894041;-70,66943496;100;1990;701;177;501;4;10861,53939;6;0;3;2;19;0;4;Zona Norte;5,458059993;0,001005025;0,003015075;2,838801712;1280,790927;8035,691846;38,45614035;;44;44;38,98412698;202;Grupo 2
10220;2;COLEGIO PRESIDENTE ALESSANDRI;13;METROPOLITANA DE SANTIAGO;13108;INDEPENDENCIA;3;2;3;1;276;312;10220-2;56;2148;0;0;0;0;2;88;64;2498;70,01650302;1136;53;1189;460;460;405;405;865;GRATUITO;GRATUITO;-33,41987512;-70,6755671;100;2721;938;654;280;0;3756,833261;1;0;6;0;2;0;2;Zona Norte;1,380681095;0;0,000367512;2,900852878;1859,266466;8182,809594;38,35714286;;;44;39,03125;312;Grupo 3
10223;7;LICEO SANTA TERESITA;13;METROPOLITANA DE SANTIAGO;13108;INDEPENDENCIA;3;2;3;1;244;235;10223-7;38;1463;1;44;1;44;1;44;45;1771;88,67609618;328;377;705;348;348;245;245;593;GRATUITO;GRATUITO;-33,41190513;-70,6745079;100;2375;800;785;0;7;29287,6825;3;0;10;0;2;0;1;Zona Norte;12,33165579;0;0,001263158;2,96875;1437,849423;8624,256306;38,5;44;44;44;39,35555556;235;Grupo 2
10224;5;COLEGIO ARTURO TORO AMOR;13;METROPOLITANA DE SANTIAGO;13108;INDEPENDENCIA;3;2;3;1;275;271;10224-5;50;1756;0;0;1;44;1;35;56;2011;69,7971082;1;1216;1217;445;445;454;454;899;GRATUITO;GRATUITO;-33,41775922;-70,67122612;100;1990;701;177;501;4;10861,53939;6;0;3;2;19;0;4;Zona Norte;5,458059993;0,001005025;0,003015075;2,838801712;1438,039123;8160,243384;35,12;;44;35;35,91071429;271;Grupo 3
10232;6;COLEG. POLIV. SANTA MARIA DE LA PROVIDENCIA;13;METROPOLITANA DE SANTIAGO;13128;RENCA;3;2;3;1;230;238;10232-6;30;1043;0;0;0;0;0;0;39;1439;100;307;447;754;315;315;264;0;315;$1.000 A $10.000;$25.001 A $50.000;-33,41036968;-70,68889435;100;2649;787;783;0;1;24436,04118;2;0;8;0;2;0;1;Zona Poniente;9,224628609;0;0,000755002;3,365946633;2287,036725;9266,87831;34,76666667;;;;36,8974359;238;Grupo 2
10240;7;ESCUELA LUIS CRUZ MARTINEZ;13;METROPOLITANA DE SANTIAGO;13125;QUILICURA;2;1;2;1;226;213;10240-7;65;2726;2;88;6;264;2;88;94;3956;92,07127521;803;663;1466;698;698;382;382;1080;GRATUITO;GRATUITO;-33,367279;-70,71665627;87,8307;1088;332;317;0;0;9438,312301;1;0;10;0;15;0;2;Zona Norte;8,674919394;0;0,000919118;3,277108434;455,2105539;13643,65441;41,93846154;44;44;44;42,08510638;213;Grupo 3
10246;6;COLEGIO POLIV. SANTA MARIA;13;METROPOLITANA DE SANTIAGO;13125;QUILICURA;3;2;2;1;216;239;10246-6;96;3908;0;0;1;44;0;0;99;4040;100;1049;1005;2054;901;901;805;805;1706;GRATUITO;GRATUITO;-33,36956701;-70,73572442;100;3446;1092;801;172;12;8148,838274;8;0;8;2;86;0;14;Zona Norte;2,364723817;0,000580383;0,002321532;3,155677656;821,5935285;14462,49634;40,70833333;;44;;40,80808081;239;Grupo 3
10248;2;LICEO INSTITUTO TECNOLOGICO Y COMERCIAL RECOLETA-INTECO;13;METROPOLITANA DE SANTIAGO;13127;RECOLETA;5;2;2;1;221;245;10248-2;32;1121;0;0;0;0;1;44;37;1341;79,21158797;402;309;711;407;0;191;0;0;GRATUITO;GRATUITO;-33,41285597;-70,63801727;76,7877;2241;695;534;1;0;586,4058294;2;1;5;0;153;0;1;Zona Norte;0,261671499;0;0,000892459;3,224460432;512,873939;8019,033532;35,03125;;;44;36,24324324;245;Grupo 2
10250;4;CENTRO EDUCACIONAL DE HUECHURABA;13;METROPOLITANA DE SANTIAGO;13107;HUECHURABA;2;1;2;1;231;226;10250-4;57;2223;3;110;0;0;2;88;74;2949;75,5218058;358;340;698;409;336;91;81;417;GRATUITO;GRATUITO;-33,37459022;-70,6342271;100;4183;1139;905;144;57;27435,8041;3;0;7;0;21;0;2;Zona Norte;6,558882167;0;0,000717189;3,672519754;1293,462248;11230,66103;39;36,66666667;;44;39,85135135;226;Grupo 2
10251;2;LICEO POETA FEDERICO GARCIA LORCA;13;METROPOLITANA DE SANTIAGO;13104;CONCHALI;1;1;2;1;215;205;10251-2;28;981;2;88;1;44;1;40;43;1580;81,4918662;317;302;619;334;334;137;137;471;GRATUITO;GRATUITO;-33,37003144;-70,69107767;100;6772;2102;1263;753;41;28951,51035;4;1;19;0;33;0;4;Otra;4,275178729;0;0,000590667;3,221693625;532,512525;12382,86288;35,03571429;44;44;40;36,74418605;205;Grupo 2
10252;0;LICEO ARTURO PEREZ CANTO;13;METROPOLITANA DE SANTIAGO;13127;RECOLETA;2;1;2;1;227;222;10252-0;44;1900;0;0;2;88;1;44;57;2472;90,39929159;387;340;727;357;357;110;110;467;GRATUITO;GRATUITO;-33,40144256;-70,62933512;73,4325;2215;691;656;1;3;1423,441206;1;0;11;0;27;0;5;Zona Norte;0,642637114;0;0,000451467;3,205499276;1346,23532;8944,709609;43,18181818;;44;44;43,36842105;222;Grupo 2
10253;9;LICEO POLIV. ABDON CIFUENTES;13;METROPOLITANA DE SANTIAGO;13104;CONCHALI;1;1;2;1;221;230;10253-9;68;2727;0;0;2;88;1;44;79;3197;54,43329102;604;522;1126;580;580;368;368;948;GRATUITO;GRATUITO;-33,39636702;-70,66311222;70,047;3361;1042;889;142;1;14113,86237;3;0;9;0;7;0;4;Otra;4,199304485;0;0,000892591;3,225527831;614,0900131;9437,945459;40,10294118;;44;44;40,46835443;230;Grupo 3
10254;7;CENTRO EDUCACIONAL JOSE MIGUEL CARRERA;13;METROPOLITANA DE SANTIAGO;13127;RECOLETA;2;1;2;1;202;203;10254-7;30;1109;2;74;2;88;2;74;45;1671;100;198;154;352;136;113;43;33;146;GRATUITO;GRATUITO;-33,38346707;-70,65713504;100;4110;1289;1253;2;13;6402,033358;4;1;14;0;11;0;2;Zona Norte;1,55767235;0;0,000973236;3,188518231;1063,911642;10441,60905;36,96666667;37;44;37;37,13333333;203;Grupo 2
10255;5;COMPLEJO EDUCACIONAL JUANITA FERNANDEZ SOLAR;13;METROPOLITANA DE SANTIAGO;13127;RECOLETA;2;1;1;1;218;216;10255-5;51;2146;2;88;1;44;1;44;63;2674;93,74486565;232;387;619;376;376;130;130;506;GRATUITO;GRATUITO;-33,40273634;-70,64189276;47,2222;2937;867;862;0;2;18086,26617;4;0;1;2;2;0;5;Zona Norte;6,158074963;0,000680967;0,001361934;3,387543253;334,713639;8737,982234;42,07843137;44;44;44;42,44444444;216;Grupo 2
10259;8;LICEO ALBERTO BLEST GANA;13;METROPOLITANA DE SANTIAGO;13104;CONCHALI;1;1;2;1;228;228;10259-8;43;1388;0;0;2;74;1;44;63;2142;86,61434864;492;356;848;263;214;166;144;358;GRATUITO;GRATUITO;-33,39929925;-70,66823613;70,047;3361;1042;889;142;1;14113,86237;3;0;9;0;7;0;4;Otra;4,199304485;0;0,000892591;3,225527831;215,0165614;9314,453047;32,27906977;;37;44;34;228;Grupo 2
10269;5;LICEO MUNC.ALMIRANTE GALVARINO RIVEROS;13;METROPOLITANA DE SANTIAGO;13104;CONCHALI;1;1;2;1;227;218;10269-5;34;1162;2;71;1;44;2;88;41;1453;83,45361967;257;200;457;229;229;119;119;348;GRATUITO;GRATUITO;-33,37273641;-70,68165689;100;3855;1139;1116;1;6;20658,47922;4;0;10;1;9;0;4;Otra;5,358879176;0,000259403;0,001037613;3,384547849;388,6817375;11862,80797;34,17647059;35,5;44;44;35,43902439;218;Grupo 2
10313;6;COLEGIO POLIV. ALEJANDRO FLORES;13;METROPOLITANA DE SANTIAGO;13127;RECOLETA;3;2;2;1;254;271;10313-6;45;1704;11;484;1;44;0;0;61;2386;61,445991;631;624;1255;606;559;349;337;896;GRATUITO;GRATUITO;-33,4051111;-70,64571246;57,3651;3584;1179;892;246;5;14564,87934;1;0;11;0;31;0;1;Zona Norte;4,063861424;0;0,000279018;3,039864292;264,4226334;8560,369353;37,86666667;44;44;;39,1147541;271;Grupo 3
10315;2;COLEGIO CRISTOBAL COLON;13;METROPOLITANA DE SANTIAGO;13104;CONCHALI;3;2;3;1;246;235;10315-2;46;1808;0;0;1;44;0;0;56;2248;84,9261431;444;399;843;334;334;322;322;656;GRATUITO;GRATUITO;-33,37548506;-70,68012656;100;3855;1139;1116;1;6;20658,47922;4;0;10;1;9;0;4;Otra;5,358879176;0,000259403;0,001037613;3,384547849;579,7236546;11581,10215;39,30434783;;44;;40,14285714;235;Grupo 2
10320;9;LICEO AVENIDA RECOLETA;13;METROPOLITANA DE SANTIAGO;13127;RECOLETA;3;2;2;1;235;231;10320-9;54;2122;11;458;2;88;1;44;72;2888;84,68599034;746;704;1450;815;815;359;359;1174;GRATUITO;GRATUITO;-33,39025525;-70,64273366;83,7551;3410;1025;973;4;4;10047,23891;1;0;8;0;39;0;3;Zona Norte;2,946404373;0;0,000293255;3,326829268;103,0473972;9754,336996;39,2962963;41,63636364;44;44;40,11111111;231;Grupo 3
10329;2;COLEGIO LIBERTADOR SAN MARTIN;13;METROPOLITANA DE SANTIAGO;13104;CONCHALI;3;2;2;1;254;228;10329-2;30;1158;0;0;0;0;1;44;37;1452;66,95106493;560;532;1092;381;381;182;182;563;GRATUITO;GRATUITO;-33,39112361;-70,67462279;100;9695;3086;1890;1035;42;21791,66624;6;0;19;1;104;0;11;Otra;2,24772215;0,000103146;0,000618876;3,141607259;717,0510346;10120,32052;38,6;;;44;39,24324324;228;Grupo 2
10337;3;COLEGIO MATER DOLOROSA;13;METROPOLITANA DE SANTIAGO;13107;HUECHURABA;3;2;2;1;242;232;10337-3;29;1076;0;0;1;44;1;44;41;1592;85;335;416;751;360;360;296;296;656;GRATUITO;GRATUITO;-33,37498257;-70,63959733;100;5835;1764;1603;87;30;10191,78899;6;1;4;0;27;0;5;Zona Norte;1,746664779;0;0,001028278;3,307823129;863,6052496;11157,86677;37,10344828;;44;44;38,82926829;232;Grupo 2
10344;6;COLEGIO HELLEN´S COLLEGE;13;METROPOLITANA DE SANTIAGO;13104;CONCHALI;3;2;3;1;257;289;10344-6;34;1268;1;44;2;88;0;0;43;1664;100;559;540;1099;566;566;382;0;566;$1.000 A $10.000;$25.001 A $50.000;-33,39090138;-70,67481829;100;9695;3086;1890;1035;42;21791,66624;6;0;19;1;104;0;11;Otra;2,24772215;0,000103146;0,000618876;3,141607259;686,3828737;10143,08694;37,29411765;44;44;;38,69767442;289;Grupo 3
10350;0;COLEGIO ELENA BETTINI;13;METROPOLITANA DE SANTIAGO;13108;INDEPENDENCIA;3;2;3;1;244;239;10350-0;37;1399;0;0;1;44;0;0;41;1571;91,29469215;0;830;830;300;300;306;0;300;GRATUITO;$25.001 A $50.000;-33,40231513;-70,67279364;100;4721;1461;1108;211;9;3537,978903;2;0;17;0;116;0;3;Zona Norte;0,749413027;0;0,000423639;3,231348392;597,2689817;9216,348852;37,81081081;;44;;38,31707317;239;Grupo 2
10352;7;LICEO BICENTENARIO NUEVA AURORA DE CHILE;13;METROPOLITANA DE SANTIAGO;13127;RECOLETA;3;2;3;1;269;259;10352-7;30;1130;0;0;1;44;0;0;36;1394;85;387;401;788;379;379;272;272;651;GRATUITO;GRATUITO;-33,39700978;-70,64567774;100;5491;1888;948;909;6;19768,5334;3;0;12;0;16;0;2;Zona Norte;3,600169988;0;0,000546349;2,908368644;269,6806327;9192,618933;37,66666667;;44;;38,72222222;259;Grupo 2
10377;2;LICEO POLIVALENTE SAINT ANDREWS;13;METROPOLITANA DE SANTIAGO;13302;LAMPA;3;2;2;1;257;263;10377-2;17;649;1;43;1;43;0;0;22;859;82,77815625;258;232;490;250;250;130;130;380;GRATUITO;GRATUITO;-33,24623934;-70,77617399;72,8639;3050;918;895;0;17;0;1;0;0;0;4;0;1;Otra;0;0;0,000327869;3,322440087;14003,0248;27642,25562;38,17647059;43;43;;39,04545455;263;Grupo 2
10385;3;ESCUELA PART. ADVENTISTA SANTIAGO NORTE;13;METROPOLITANA DE SANTIAGO;13104;CONCHALI;3;2;3;1;245;266;10385-3;20;795;3;122;1;44;0;0;33;1357;78,41384616;284;265;549;294;294;171;171;465;GRATUITO;GRATUITO;-33,3713421;-70,69078266;100;6772;2102;1263;753;41;28951,51035;4;1;19;0;33;0;4;Otra;4,275178729;0;0,000590667;3,221693625;512,9981747;12258,3895;39,75;40,66666667;44;;41,12121212;266;Grupo 2
10396;9;LICEO POLIVALENTE RAFAEL DONOSO CARRASCO;13;METROPOLITANA DE SANTIAGO;13127;RECOLETA;5;2;2;1;211;229;10396-9;29;1050;0;0;0;0;0;0;32;1182;79,40734238;391;241;632;396;0;179;0;0;GRATUITO;GRATUITO;-33,40020343;-70,65111465;71,2759;7564;2134;1148;920;16;6997,624316;5;0;9;0;44;0;3;Zona Norte;0,925122199;0;0,000661026;3,544517338;862,9894792;8973,851083;36,20689655;;;;36,9375;229;Grupo 2
10397;7;LICEO INDUSTRIAL DE RECOLETA;13;METROPOLITANA DE SANTIAGO;13127;RECOLETA;5;2;1;1;193;213;10397-7;19;710;2;88;1;44;1;44;25;974;90,47112462;328;52;380;239;0;89;0;0;GRATUITO;GRATUITO;-33,40153035;-70,64380428;57,3651;3584;1179;892;246;5;14564,87934;1;0;11;0;31;0;1;Zona Norte;4,063861424;0;0,000279018;3,039864292;461,9025396;8831,924966;37,36842105;44;44;44;38,96;213;Grupo 2
10399;3;LICEO POLIVALENTE RIGOBERTO FONTT I.;13;METROPOLITANA DE SANTIAGO;13301;COLINA;1;1;1;1;219;228;10399-3;55;2122;0;0;2;88;0;0;65;2543;99,3858994;678;594;1272;806;712;220;200;912;GRATUITO;GRATUITO;-33,19464078;-70,67439897;100;33159;9101;5565;3313;161;115680,9061;25;1;0;4;47;0;33;Zona Norte;3,488672943;0,000120631;0,000753943;3,643445775;19062,11365;30493,28128;38,58181818;;44;;39,12307692;228;Grupo 3
