enc_region;IH_residencia_habitual;rph_edad;rph_sexo;rph_nacionalidad;rph_nivel;rph_estadocivil;rph_situacion_laboral_a;rph_nse;P_AUMENTO_PAIS;P_FUENTE_INFO_PAIS_1;P_DELITO_PRONOSTICO__1;Pronostico_robo_vivienda
La Araucanía;4;60-69;Mujer;Chilena;Educación secundaria;Separado;Cesante;NSE medio;Se mantuvo;Noticias;1;Si
Metropolitana;2;40-49;Mujer;Chilena;Educación secundaria;Casado;Empleado;NSE medio;Aumentó;Noticias;0;No
Metropolitana;4;40-49;Mujer;Chilena;Educación superior;Conviviente;Empleado;NSE medio;Aumentó;Noticias;0;No
Maule;3;20-29;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE bajo;Aumentó;Redes sociales;1;Si
Maule;2;50-59;Mujer;Chilena;Educación superior;Separado;Empleado;NSE alto;Aumentó;Experiencias;0;No
Metropolitana;1;30-39;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE alto;Aumentó;TV;0;No
La Araucanía;1;60-69;Hombre;Chilena;Educación básica;Soltero;Cesante;NSE bajo;Aumentó;Noticias;1;Si
Biobío;2;50-59;Hombre;Chilena;Educación secundaria;Soltero;Empleado;NSE medio;Aumentó;Noticias;0;No
Maule;3;30-39;Mujer;Chilena;Educación superior;Soltero;Cesante;NSE bajo;Aumentó;Redes sociales;0;No
La Araucanía;3;60-69;Hombre;Chilena;Educación superior;Casado;Empleado;NSE medio;Aumentó;Experiencias;0;No
Metropolitana;4;40-49;Hombre;Chilena;Educación superior;Conviviente;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Maule;6;50-59;Hombre;Extranjero;Educación superior;Soltero;Cesante;NSE bajo;Aumentó;Noticias;0;No
Biobío;2;40-49;Mujer;Chilena;Educación superior;Soltero;Cesante;NSE bajo;Aumentó;Noticias;1;Si
Metropolitana;4;30-39;Mujer;Chilena;Educación superior;Casado;Empleado;NSE medio;Aumentó;Noticias;0;No
Biobío;3;40-49;Hombre;Chilena;Educación secundaria;Conviviente;Empleado;NSE bajo;Aumentó;Experiencias;0;No
Valparaíso;2;50-59;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;Aumentó;Experiencias;0;No
Biobío;3;50-59;Mujer;Chilena;Educación secundaria;Casado;Cesante;NSE medio;Aumentó;Experiencias;0;No
Los lagos;3;50-59;Mujer;Chilena;Educación secundaria;Casado;Empleado;NSE bajo;Aumentó;Noticias;1;Si
Los Ríos;2;20-29;Hombre;Chilena;Educación secundaria;Soltero;Empleado;NSE medio;Aumentó;Experiencias;0;No
Maule;4;50-59;Hombre;Chilena;Educación superior;Casado;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Ohiggins;3;30-39;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE bajo;Aumentó;Noticias;0;No
Metropolitana;1;30-39;Mujer;Chilena;Educación secundaria;Soltero;Empleado;NSE alto;Aumentó;Otros;0;No
Biobío;5;15-19;Mujer;Chilena;Educación superior;Soltero;Cesante;NSE bajo;Aumentó;Redes sociales;0;No
Biobío;2;50-59;Hombre;Chilena;Sin educación formal;Soltero;Empleado;NSE bajo;Aumentó;Noticias;1;Si
Maule;1;>70;Mujer;Chilena;Educación superior;Soltero;Cesante;NSE medio;Aumentó;Experiencias;0;No
Metropolitana;4;50-59;Mujer;Chilena;Educación superior;Casado;Empleado;NSE alto;Aumentó;Periódico nacional;0;No
Metropolitana;3;40-49;Mujer;Chilena;Educación superior;Viudo;Cesante;NSE medio;Aumentó;Noticias;0;No
Los lagos;2;30-39;Mujer;Chilena;Educación secundaria;Soltero;Empleado;NSE medio;Aumentó;Noticias;0;No
Metropolitana;3;>70;Hombre;Chilena;Educación secundaria;Casado;Cesante;NSE bajo;No sabe;Experiencias;0;No
Biobío;4;30-39;Mujer;Chilena;Educación superior;Conviviente;Cesante;NSE medio;Aumentó;Redes sociales;1;Si
Maule;3;60-69;Hombre;Chilena;Educación básica;Conviviente;Cesante;NSE bajo;Aumentó;Noticias;0;No
Coquimbo;1;20-29;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE alto;Se mantuvo;Redes sociales;0;No
Biobío;2;30-39;Mujer;Chilena;Educación superior;Casado;Cesante;NSE medio;Aumentó;Redes sociales;1;Si
Ñuble;2;40-49;Mujer;Chilena;Educación básica;Casado;Cesante;NSE medio;Aumentó;Redes sociales;0;No
Maule;5;15-19;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;Aumentó;Redes sociales;0;No
Maule;2;60-69;Mujer;Chilena;Educación secundaria;Separado;Empleado;NSE bajo;Aumentó;Noticias;0;No
Maule;6;50-59;Hombre;Chilena;Educación secundaria;Casado;Empleado;NSE bajo;Aumentó;Experiencias;1;Si
Biobío;2;>70;Hombre;Chilena;Educación secundaria;Casado;Cesante;NSE medio;Aumentó;Noticias;0;No
Metropolitana;1;40-49;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE alto;Aumentó;Noticias;0;No
Metropolitana;1;>70;Mujer;Chilena;Educación secundaria;Viudo;Cesante;NSE medio;Aumentó;Noticias;0;No
Biobío;2;15-19;Hombre;Chilena;Educación secundaria;Soltero;Cesante;NSE medio;Aumentó;Redes sociales;1;Si
Los Ríos;1;60-69;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE medio;Aumentó;Noticias;0;No
Maule;1;30-39;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;TV;0;No
La Araucanía;3;60-69;Hombre;Chilena;Educación superior;Casado;Cesante;NSE medio;Se mantuvo;TV;0;No
Metropolitana;4;20-29;Hombre;Chilena;Educación secundaria;Soltero;Empleado;NSE bajo;Aumentó;Noticias;0;No
Valparaíso;2;60-69;Hombre;Chilena;Educación secundaria;Casado;Cesante;NSE medio;Aumentó;Noticias;1;Si
Biobío;1;60-69;Mujer;Chilena;Educación secundaria;Separado;Cesante;NSE medio;Aumentó;Noticias;0;No
Metropolitana;3;40-49;Hombre;Chilena;Educación superior;Conviviente;Empleado;NSE alto;Aumentó;Periódico nacional;0;No
Metropolitana;2;20-29;Mujer;Chilena;Educación superior;Conviviente;Empleado;NSE medio;Aumentó;Otras personas;0;No
Ohiggins;2;60-69;Mujer;Chilena;Educación básica;Casado;Cesante;NSE bajo;Aumentó;Noticias;0;No
Biobío;3;15-19;Hombre;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;Aumentó;Noticias;0;No
Ñuble;4;40-49;Mujer;Chilena;Educación secundaria;Conviviente;Empleado;NSE bajo;Aumentó;Noticias;0;No
Maule;4;30-39;Hombre;Chilena;Educación secundaria;Conviviente;Empleado;NSE bajo;Aumentó;Noticias;0;No
Los lagos;3;50-59;Mujer;Chilena;Educación secundaria;Casado;Cesante;NSE medio;Aumentó;TV;1;Si
Valparaíso;1;30-39;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE medio;Se mantuvo;Otras personas;0;No
Metropolitana;3;20-29;Hombre;Chilena;Educación secundaria;Soltero;Cesante;NSE medio;Aumentó;Noticias;0;No
Ñuble;4;50-59;Hombre;Chilena;Educación básica;Soltero;Cesante;NSE bajo;Aumentó;Noticias;0;No
Biobío;3;60-69;Mujer;Chilena;Educación básica;Soltero;Cesante;NSE bajo;Aumentó;Noticias;0;No
Biobío;3;15-19;Mujer;Chilena;Educación superior;Soltero;Cesante;NSE medio;Aumentó;Redes sociales;0;No
Los lagos;2;20-29;Mujer;Chilena;Educación secundaria;Soltero;Empleado;NSE medio;Aumentó;Experiencias;0;No
Tarapacá;4;40-49;Mujer;Chilena;Educación secundaria;Conviviente;Cesante;NSE bajo;Aumentó;Redes sociales;0;No
Los lagos;4;30-39;Mujer;Chilena;Educación superior;Casado;Empleado;NSE medio;Aumentó;Redes sociales;1;Si
Biobío;3;20-29;Hombre;Extranjero;Educación secundaria;Soltero;Cesante;NSE medio;Aumentó;Noticias;0;No
Los Ríos;1;>70;Mujer;Chilena;Educación básica;Soltero;Cesante;NSE bajo;Aumentó;Noticias;1;Si
Los Ríos;5;60-69;Hombre;Chilena;Educación básica;Casado;Empleado;NSE bajo;Aumentó;Experiencias;1;Si
Antofagasta;3;50-59;Hombre;Chilena;Educación secundaria;Casado;Empleado;NSE bajo;Aumentó;Noticias;0;No
Valparaíso;1;50-59;Hombre;Chilena;Educación superior;Casado;Empleado;NSE alto;Aumentó;Noticias;1;Si
Coquimbo;1;>70;Mujer;Chilena;Educación secundaria;Viudo;Empleado;NSE bajo;Aumentó;Redes sociales;0;No
Maule;3;>70;Hombre;Chilena;Educación secundaria;Casado;Empleado;NSE medio;Aumentó;TV;0;No
Antofagasta;1;20-29;Hombre;Chilena;Educación secundaria;Soltero;Empleado;NSE medio;Aumentó;Noticias;0;No
Maule;3;60-69;Hombre;Chilena;Educación secundaria;Viudo;Empleado;NSE bajo;Aumentó;Redes sociales;0;No
Biobío;1;60-69;Hombre;Chilena;Educación secundaria;Soltero;Empleado;NSE medio;Aumentó;Noticias;0;No
Biobío;3;20-29;Mujer;Chilena;Educación secundaria;Conviviente;Cesante;NSE bajo;Aumentó;Experiencias;0;No
Maule;2;20-29;Mujer;Chilena;Educación superior;Conviviente;Empleado;NSE alto;Aumentó;Noticias;0;No
La Araucanía;1;>70;Mujer;Chilena;Educación secundaria;Viudo;Cesante;NSE medio;Aumentó;TV;0;No
Valparaíso;2;60-69;Hombre;Chilena;Educación básica;Soltero;Empleado;NSE bajo;Aumentó;Noticias;1;Si
Ñuble;3;20-29;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE bajo;Aumentó;Redes sociales;0;No
Maule;5;60-69;Mujer;Chilena;Educación superior;Casado;Cesante;NSE bajo;Aumentó;Noticias;1;Si
Metropolitana;2;20-29;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE bajo;Aumentó;Redes sociales;0;No
Biobío;3;30-39;Mujer;Chilena;Educación superior;Conviviente;Empleado;NSE alto;Aumentó;Redes sociales;1;Si
Metropolitana;1;50-59;Mujer;Chilena;Educación secundaria;Soltero;Empleado;NSE bajo;Aumentó;Redes sociales;1;Si
Biobío;5;15-19;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;Aumentó;Redes sociales;1;Si
Maule;4;30-39;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Noticias;0;No
Metropolitana;3;40-49;Mujer;Chilena;Educación superior;Separado;Empleado;NSE medio;Aumentó;Otras personas;0;No
Biobío;3;40-49;Hombre;Chilena;Educación superior;Conviviente;Empleado;NSE medio;Aumentó;Experiencias;0;No
Los lagos;2;20-29;Hombre;Chilena;Educación superior;Conviviente;Empleado;NSE alto;Se mantuvo;Redes sociales;0;No
Biobío;2;>70;Hombre;Chilena;Educación secundaria;Casado;Cesante;NSE medio;Aumentó;Noticias;0;No
Ohiggins;3;60-69;Hombre;Chilena;Educación superior;Casado;Empleado;NSE alto;Aumentó;Noticias;0;No
Maule;1;60-69;Mujer;Chilena;Educación superior;Viudo;Cesante;NSE medio;Aumentó;Noticias;1;Si
Los lagos;2;60-69;Mujer;Chilena;Educación secundaria;Conviviente;Cesante;NSE medio;Aumentó;Redes sociales;0;No
Biobío;3;20-29;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;1;Si
Magallanes;1;40-49;Hombre;Chilena;Educación básica;Soltero;Empleado;NSE bajo;Aumentó;TV;1;Si
Los lagos;4;50-59;Mujer;Chilena;Educación básica;Casado;Empleado;NSE bajo;Se mantuvo;Noticias;0;No
Antofagasta;5;30-39;Mujer;Chilena;Educación básica;Conviviente;Cesante;NSE bajo;Aumentó;Noticias;0;No
Los lagos;3;15-19;Hombre;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;No sabe;Redes sociales;1;Si
Valparaíso;3;50-59;Hombre;Chilena;Educación superior;Separado;Empleado;NSE bajo;Aumentó;Noticias;0;No
Metropolitana;2;30-39;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;1;Si
Valparaíso;3;50-59;Mujer;Chilena;Educación superior;Casado;Empleado;NSE alto;Se mantuvo;TV;0;No
Aysén;2;40-49;Mujer;Chilena;Educación secundaria;Soltero;Empleado;NSE bajo;Aumentó;Noticias;0;No
Ohiggins;1;>70;Hombre;Chilena;Educación superior;Viudo;Cesante;NSE medio;Aumentó;Noticias;1;Si
Maule;4;20-29;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE bajo;Aumentó;Redes sociales;0;No
Maule;2;>70;Hombre;Chilena;Educación básica;Casado;Cesante;NSE bajo;Aumentó;Noticias;0;No
Antofagasta;4;>70;Hombre;Chilena;Educación básica;Casado;Empleado;NSE bajo;Aumentó;Noticias;0;No
Maule;1;40-49;Hombre;Extranjero;Educación secundaria;Soltero;Empleado;NSE medio;Aumentó;Noticias;0;No
Atacama;3;>70;Mujer;Chilena;Educación básica;Viudo;Cesante;NSE bajo;Aumentó;Noticias;0;No
Biobío;3;50-59;Mujer;Chilena;Educación básica;Separado;Cesante;NSE bajo;Aumentó;Noticias;0;No
Maule;4;40-49;Hombre;Chilena;Educación secundaria;Casado;Empleado;NSE bajo;Aumentó;Redes sociales;0;No
Los lagos;5;15-19;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE medio;Aumentó;Redes sociales;0;No
Ñuble;2;50-59;Hombre;Chilena;Educación secundaria;Soltero;Empleado;NSE bajo;Aumentó;Experiencias;1;Si
La Araucanía;3;20-29;Mujer;Chilena;Educación superior;Casado;Cesante;NSE medio;Aumentó;Redes sociales;0;No
Ohiggins;4;40-49;Mujer;Chilena;Educación secundaria;Soltero;Empleado;NSE bajo;Aumentó;Noticias;0;No
Coquimbo;2;60-69;Hombre;Chilena;Educación superior;Casado;Empleado;NSE alto;Aumentó;Redes sociales;1;Si
La Araucanía;2;30-39;Mujer;Chilena;Educación superior;Casado;Empleado;NSE alto;Se mantuvo;Redes sociales;0;No
La Araucanía;2;20-29;Mujer;Chilena;Educación superior;Soltero;Cesante;NSE bajo;Se mantuvo;Otros;0;No
Los Ríos;1;50-59;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;Aumentó;Experiencias;0;No
Ohiggins;1;30-39;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE alto;Aumentó;Noticias;0;No
Metropolitana;3;60-69;Mujer;Chilena;Educación básica;Casado;Cesante;NSE bajo;Aumentó;TV;1;Si
Metropolitana;1;40-49;Mujer;Extranjero;Educación superior;Soltero;Empleado;NSE alto;Se mantuvo;Noticias;0;No
Metropolitana;4;40-49;Hombre;Chilena;Educación secundaria;Casado;Empleado;NSE medio;Aumentó;Noticias;0;No
Biobío;3;50-59;Mujer;Chilena;Educación superior;Casado;Empleado;NSE alto;Aumentó;Periódico nacional;0;No
Maule;2;30-39;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE alto;Aumentó;Redes sociales;0;No
La Araucanía;2;30-39;Hombre;Chilena;Educación secundaria;Soltero;Empleado;NSE medio;Aumentó;Otros;0;No
Metropolitana;4;15-19;Hombre;Chilena;Educación secundaria;Soltero;Cesante;NSE bajo;Aumentó;Noticias;0;No
Biobío;1;50-59;Mujer;Chilena;Educación secundaria;Separado;Empleado;NSE medio;Aumentó;Redes sociales;1;Si
Valparaíso;3;30-39;Mujer;Chilena;Educación superior;Conviviente;Empleado;NSE medio;Se mantuvo;Redes sociales;0;No
Valparaíso;2;60-69;Hombre;Chilena;Educación secundaria;Casado;Empleado;NSE bajo;Aumentó;Noticias;0;No
La Araucanía;9;40-49;Mujer;Chilena;Educación superior;Casado;Cesante;NSE bajo;Aumentó;Redes sociales;0;No
Valparaíso;1;>70;Mujer;Chilena;Educación secundaria;Soltero;Cesante;NSE medio;Aumentó;Redes sociales;1;Si
Valparaíso;2;40-49;Mujer;Chilena;Educación superior;Conviviente;Cesante;NSE bajo;Aumentó;Redes sociales;0;No
Ohiggins;4;30-39;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Periódico regional;0;No
Valparaíso;2;>70;Mujer;Chilena;Educación superior;Casado;Cesante;NSE medio;Aumentó;Periódico nacional;1;Si
Tarapacá;2;50-59;Hombre;Chilena;Educación superior;Casado;Empleado;NSE alto;Aumentó;Radio;0;No
Metropolitana;4;>70;Mujer;Chilena;Educación básica;Casado;Cesante;NSE bajo;Aumentó;Experiencias;1;Si
Biobío;4;40-49;Hombre;Chilena;Educación superior;Conviviente;Empleado;NSE medio;Aumentó;Radio;0;No
Biobío;3;30-39;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE alto;Aumentó;Noticias;0;No
Los lagos;4;50-59;Hombre;Chilena;Educación secundaria;Casado;Empleado;NSE bajo;Se mantuvo;Redes sociales;1;Si
Maule;4;60-69;Mujer;Chilena;Educación superior;Casado;Empleado;NSE bajo;Aumentó;Redes sociales;0;No
Coquimbo;4;30-39;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;1;Si
Ñuble;2;50-59;Mujer;Chilena;Educación secundaria;Casado;Cesante;NSE medio;Aumentó;Noticias;0;No
Biobío;3;15-19;Hombre;Chilena;Educación secundaria;Soltero;Cesante;NSE alto;Aumentó;Redes sociales;1;Si
Metropolitana;3;20-29;Hombre;Chilena;Educación superior;Soltero;Cesante;NSE medio;Aumentó;Noticias;0;No
Metropolitana;3;50-59;Mujer;Chilena;Educación superior;Casado;Empleado;NSE medio;Aumentó;Noticias;0;No
Valparaíso;3;20-29;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE bajo;Aumentó;Experiencias;0;No
Valparaíso;2;50-59;Mujer;Chilena;Educación básica;Conviviente;Empleado;NSE medio;Aumentó;Noticias;0;No
Biobío;2;60-69;Hombre;Chilena;Educación superior;Soltero;Cesante;NSE medio;Aumentó;Noticias;0;No
La Araucanía;2;50-59;Mujer;Chilena;Educación secundaria;Separado;Empleado;NSE bajo;Aumentó;Radio;0;No
Biobío;4;60-69;Hombre;Chilena;Educación secundaria;Casado;Empleado;NSE bajo;Aumentó;Noticias;0;No
Ñuble;1;60-69;Mujer;Chilena;Educación superior;Separado;Cesante;NSE medio;Aumentó;Noticias;1;Si
Biobío;5;50-59;Mujer;Chilena;Educación básica;Separado;Empleado;NSE bajo;Aumentó;Otras personas;1;Si
Los lagos;1;50-59;Mujer;Chilena;Educación secundaria;Soltero;Empleado;NSE medio;Aumentó;Radio;1;Si
Biobío;1;50-59;Hombre;Chilena;Educación superior;Separado;Empleado;NSE alto;Aumentó;Noticias;0;No
Valparaíso;4;20-29;Hombre;Chilena;Educación secundaria;Soltero;Empleado;NSE bajo;Aumentó;Redes sociales;0;No
Valparaíso;2;20-29;Mujer;Chilena;Educación superior;Conviviente;Cesante;NSE alto;Aumentó;Noticias;1;Si
Valparaíso;4;20-29;Mujer;Chilena;Educación superior;Soltero;Empleado;NSE bajo;Aumentó;TV;0;No
Metropolitana;9;20-29;Mujer;Chilena;Educación superior;Casado;Cesante;NSE medio;Aumentó;Redes sociales;0;No
Biobío;2;30-39;Hombre;Chilena;Educación superior;Soltero;Empleado;NSE alto;Aumentó;Redes sociales;1;Si
Arica y Parinacota;13;30-39;Hombre;Chilena;Educación secundaria;Conviviente;Empleado;NSE bajo;Aumentó;Redes sociales;1;Si
Biobío;2;>70;Hombre;Chilena;Educación secundaria;Casado;Cesante;NSE medio;Aumentó;Noticias;0;No
Los lagos;3;60-69;Mujer;Chilena;Educación superior;Separado;Empleado;NSE medio;Aumentó;TV;1;Si
Valparaíso;3;20-29;Hombre;Chilena;Educación superior;Conviviente;Empleado;NSE bajo;Aumentó;Redes sociales;0;No
Ohiggins;3;30-39;Mujer;Chilena;Educación secundaria;Soltero;Empleado;NSE medio;Aumentó;Redes sociales;0;No
Antofagasta;4;30-39;Hombre;Chilena;Educación superior;Soltero;Cesante;NSE bajo;Aumentó;Radio;0;No
Biobío;2;30-39;Hombre;Chilena;Educación superior;Conviviente;Empleado;NSE medio;Aumentó;Radio;0;No
La Araucanía;2;30-39;Hombre;Chilena;Educación superior;Soltero;Cesante;NSE bajo;Aumentó;Experiencias;0;No
Metropolitana;3;30-39;Mujer;Chilena;Educación superior;Conviviente;Cesante;NSE medio;Aumentó;TV;0;No
Arica y Parinacota;7;40-49;Mujer;Chilena;Educación superior;Casado;Empleado;NSE medio;Aumentó;Noticias;0;No
Valparaíso;2;60-69;Mujer;Chilena;Educación secundaria;Casado;Cesante;NSE medio;Aumentó;Noticias;0;No
Valparaíso;4;50-59;Hombre;Chilena;Educación superior;Casado;Empleado;NSE medio;Aumentó;Noticias;0;No
Aysén;2;60-69;Hombre;Chilena;Educación superior;Casado;Empleado;NSE alto;Aumentó;Noticias;0;No
Maule;3;60-69;Hombre;Chilena;Educación superior;Casado;Cesante;NSE medio;Aumentó;Noticias;0;No
Valparaíso;4;60-69;Hombre;Chilena;Educación secundaria;Casado;Cesante;NSE bajo;Aumentó;TV;1;Si
Valparaíso;1;60-69;Hombre;Chilena;Educación superior;Separado;Empleado;NSE alto;Aumentó;Noticias;0;No
Valparaíso;2;60-69;Hombre;Chilena;Educación superior;Casado;Cesante;NSE medio;Aumentó;Noticias;1;Si
Atacama;1;>70;Hombre;Chilena;Educación superior;Viudo;Empleado;NSE medio;Aumentó;Radio;0;No
